Accessible data table begins in Cell A5. Item descriptions are contained within input messages in Cell G5 through Cell EY5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California Work Opportunity and Responsibility to Kids (CalWORKs) Report
Cash Grant Caseload Movement Report
(CA 237 CW)",,,,,,PART A.  APPLICATIONS FOR AID AND REQUESTS FOR RESTORATION,,,,,,,PART A.  APPLICATIONS FOR AID AND REQUESTS FOR RESTORATION,,,,,,PART B.  CASELOAD (ALL)  Cases Added,,,,,,,,,,PART B.  CASELOAD (ALL)  Cases Added,,,,,,,,,,PART B.  CASELOAD (ALL)  Cases Added,,,,,,,,,,PART B.  CASELOAD (ALL)  Cases Added,,,,,,,,,,PART B.  CASELOAD (ALL)  Cases Added,,,,,PART B.  CASELOAD (ALL)  Caseload,,,,,PART B.  CASELOAD (ALL)  Caseload,,,,,,,,,,PART B.  CASELOAD (ALL)  Caseload,,,,,,,,PART B.  CASELOAD (ALL)  Caseload,,,,,,,,,,PART B.  CASELOAD (ALL)  Caseload,,,,,,,,PART B. CASELOAD (ALL) Case Exits,,,,,,,,,,PART B. CASELOAD (ALL) Case Exits,,,,,,,,,,PART C.  SAFETY NET,,,,,,,,,,PART D.  FLEEING FELON,,,,,,,,,,PART E.  LONG-TERM SANCTION,,,,,,,,,,,
,,,,,,1.  Pending,1a. Item 5 from last month,1b. Adjustment,2. Applications received,2a. Applications,2b. Restoration,3. Total/month,4. Disposed of,4a. Approved,4b. Denied,4b1. Diversion,4c. Other,5. Applications pending,6. Cases carried forward,,,,,6a. Item 12 from last month,,,,,6b. Adjustment,,,,,7. Cases added during the month,,,,,7a. Applications approved,,,,,7b. Restorations approved,,,,,7c. Transfers from other counties,,,,,7d. Other approvals,,,,,7d1. Other approvals due to AB 959,,,,,8. Cases open during the month,,,,,8a. Cases receiving cash grant,,,,,8a1. Children in 8a cases,,,,,8a2. Adults in 8a cases,,,8a3. Total persons in 8a cases,,,,,8b. Other cases,,,,,8b1. Children in 8b cases,,,,,8b2. Adults in 8b cases,,,8b3. Total persons in 8b cases,,,,,9. Total cases discontinued,,,,,10. Total cases deducted,,,,,11. Total cases added,,,,,12. Carried forward,,,,,13. Cases open,,13a. Cases receiving cash,,13a1. Children in 13a,,13b. Other cases,,13b1. Children in 13b,,14. Cases open,,14a. Cases receiving cash,,14a1. Children in 14a,,14b. Other cases,,14b1. Children in 14b,,15. Cases open,,15a. Cases receiving cash,,15a1. Children in 15a,,15b. Other cases,,15b1. Children in 15b,,,
,,,,,,,,,,,,,,,,,,,"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","All Other
(C)","TANF Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
All Other
(C)","TANF 
Timed-Out
(D)","
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
All Other
(C)","TANF 
Timed-Out
(D)","
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)",,
Date,Month,Year,County Name,SFY,FFY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,,
Jul15,7,2015,Statewide,2015-2016,2015,23538,28199,-4661,49550,36510,13040,73088,45627,20686,19693,11,5248,27461,40317,150742,175274,29009,84041,40124,149746,175636,29284,84187,193,996,-362,-275,-146,4535,7198,21160,2062,4004,1564,2348,7647,358,913,740,1796,4306,416,598,58,363,636,37,109,2173,2691,8571,1251,2384,172,26,733,82,141,*,157940,196434,31071,88045,44445,156224,194891,30830,86648,*,307980,317998,70310,196031,*,165721,26335,*,307980,483719,96645,196031,407,1716,1543,241,1397,761,2710,2202,448,2360,562,1106,133,1323,2710,3308,581,2360,4654,9231,18313,2361,4468,1202,1215,3312,1261,611,1054,1399,2022,1129,1997,40050,148893,176831,28578,84963,4882,68510,4824,67376,13260,151191,58,1134,133,1890,26,816,*,801,71,1579,*,*,*,*,3463,10348,3404,10218,9533,20397,59,130,110,200,,
Jul15,7,2015,Alameda,2015-2016,2015,860,914,-54,1175,1011,164,2035,1070,539,447,0,84,965,746,4202,5205,801,3404,756,4139,5318,846,3320,-10,63,-113,-45,84,120,207,673,68,171,46,88,254,18,51,*,*,38,*,*,*,*,13,*,*,66,93,368,43,104,*,0,48,*,*,866,4409,5878,869,3575,*,4297,5836,*,3456,1815,7516,8626,1726,6478,1223,4651,641,3038,7516,13277,2367,6478,*,112,42,*,119,18,149,53,*,193,15,27,*,33,149,80,16,193,103,228,602,72,226,35,48,198,80,30,19,65,68,39,200,747,4198,5146,756,3519,131,2990,*,2883,329,5336,*,107,14,169,0,39,0,*,0,61,0,*,0,*,108,307,*,*,264,488,*,*,*,*,,
Jul15,7,2015,Alpine,2015-2016,2015,0,0,0,*,*,0,*,*,0,*,0,0,0,0,*,*,0,*,0,*,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*,0,*,*,0,*,0,*,*,0,*,0,*,0,0,*,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,*,*,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jul15,7,2015,Amador,2015-2016,2015,*,11,*,*,*,*,53,32,*,13,0,*,21,*,*,137,23,*,*,57,*,23,*,*,-1,*,0,*,*,*,13,0,*,*,0,*,0,*,0,*,*,0,0,0,0,0,0,0,*,*,*,0,*,0,0,*,0,0,28,59,150,23,41,*,59,*,23,41,45,83,218,37,89,46,129,24,91,83,347,61,89,*,0,*,0,0,0,0,*,0,0,0,*,0,0,0,*,0,0,*,*,12,*,*,*,0,*,0,0,*,0,*,*,*,25,*,136,23,34,*,28,*,28,*,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,11,0,0,0,0,,
Jul15,7,2015,Butte,2015-2016,2015,205,*,*,393,324,69,598,328,105,147,*,76,270,332,858,1135,*,498,334,861,1156,231,503,-2,-3,-21,-3,-5,34,19,128,*,31,15,*,44,0,*,*,*,*,*,*,*,0,*,0,*,14,*,64,*,16,0,0,*,*,0,366,877,1263,238,529,*,854,1250,238,517,688,1347,1954,500,1061,575,1127,224,1263,1347,3081,724,1061,*,23,13,0,12,*,41,12,0,23,*,11,0,19,41,23,0,23,31,35,102,17,25,*,*,*,*,*,*,*,*,*,*,337,846,1141,222,517,71,458,*,447,180,881,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jul15,7,2015,Calaveras,2015-2016,2015,19,19,0,60,*,*,79,63,28,19,0,16,16,*,*,188,*,*,*,94,*,*,72,*,-1,*,*,-1,*,*,33,*,*,*,*,17,0,*,*,0,*,0,0,0,0,*,0,0,*,0,*,*,*,0,0,*,*,*,68,95,221,30,75,*,95,*,30,75,124,143,343,57,132,121,214,30,245,143,557,87,132,*,0,*,0,0,*,0,*,0,0,*,*,0,*,0,*,0,0,*,*,23,*,*,*,0,*,0,*,*,0,*,*,*,58,*,195,31,71,*,66,*,66,*,118,0,0,0,0,*,0,*,0,*,0,0,0,0,0,*,*,*,*,*,*,0,0,0,0,,
