"This sheet contains a data dictionary and defines each Cell by Report Description, Item Description, and  (When Applicable) Column Description. Table Begins in next row.",,,,
"
Cell",Part,Item ,Column,
1,A.  APPLICATIONS FOR AID AND REQUESTS FOR RESTORATION,1. Applications/requests carried forward from last month,,
2,A.  APPLICATIONS FOR AID AND REQUESTS FOR RESTORATION,1a. Item 5 last month,,
3,A.  APPLICATIONS FOR AID AND REQUESTS FOR RESTORATION,1b. Adjustment,,
4,A.  APPLICATIONS FOR AID AND REQUESTS FOR RESTORATION,2. Applications/requests received during the month,,
5,A.  APPLICATIONS FOR AID AND REQUESTS FOR RESTORATION,2a. Applications,,
6,A.  APPLICATIONS FOR AID AND REQUESTS FOR RESTORATION,2b. Requests for restoration,,
7,A.  APPLICATIONS FOR AID AND REQUESTS FOR RESTORATION,3. Total applications/requests on hand during the month,,
8,A.  APPLICATIONS FOR AID AND REQUESTS FOR RESTORATION,4. Applications disposed of during the month,,
9,A.  APPLICATIONS FOR AID AND REQUESTS FOR RESTORATION,4a. Applications approved,,
10,A.  APPLICATIONS FOR AID AND REQUESTS FOR RESTORATION,4b. Applications denied,,
11,A.  APPLICATIONS FOR AID AND REQUESTS FOR RESTORATION,4b1. Applications denied due to receipt of Diversion payments or services,,
12,A.  APPLICATIONS FOR AID AND REQUESTS FOR RESTORATION,4c. Other application dispositions,,
13,A.  APPLICATIONS FOR AID AND REQUESTS FOR RESTORATION,5. Applications pending at the end of the month,,
14,B.  CASELOAD (ALL),6. Cases carried forward from last month,A. Two Parent Families,
15,B.  CASELOAD (ALL),6. Cases carried forward from last month,B. Zero Parent Families,
16,B.  CASELOAD (ALL),6. Cases carried forward from last month,C. All Other Families,
17,B.  CASELOAD (ALL),6. Cases carried forward from last month,D. TANF Timed-Out,
18,B.  CASELOAD (ALL),6. Cases carried forward from last month,E. Safety Net/Fleeing Felon/LTS,
19,B.  CASELOAD (ALL),6a. Item 12 from last month,A. Two Parent Families,
20,B.  CASELOAD (ALL),6a. Item 12 from last month,B. Zero Parent Families,
21,B.  CASELOAD (ALL),6a. Item 12 from last month,C. All Other Families,
22,B.  CASELOAD (ALL),6a. Item 12 from last month,D. TANF Timed-Out,
23,B.  CASELOAD (ALL),6a. Item 12 from last month,E. Safety Net/Fleeing Felon/LTS,
24,B.  CASELOAD (ALL),6b. Adjustment,A. Two Parent Families,
25,B.  CASELOAD (ALL),6b. Adjustment,B. Zero Parent Families,
26,B.  CASELOAD (ALL),6b. Adjustment,C. All Other Families,
27,B.  CASELOAD (ALL),6b. Adjustment,D. TANF Timed-Out,
28,B.  CASELOAD (ALL),6b. Adjustment,E. Safety Net/Fleeing Felon/LTS,
29,B.  CASELOAD (ALL),7. Cases added during the month,A. Two Parent Families,
30,B.  CASELOAD (ALL),7. Cases added during the month,B. Zero Parent Families,
31,B.  CASELOAD (ALL),7. Cases added during the month,C. All Other Families,
32,B.  CASELOAD (ALL),7. Cases added during the month,D. TANF Timed-Out,
33,B.  CASELOAD (ALL),7. Cases added during the month,E. Safety Net/Fleeing Felon/LTS,
34,B.  CASELOAD (ALL),7a. Applications approved,A. Two Parent Families,
35,B.  CASELOAD (ALL),7a. Applications approved,B. Zero Parent Families,
36,B.  CASELOAD (ALL),7a. Applications approved,C. All Other Families,
37,B.  CASELOAD (ALL),7a. Applications approved,D. TANF Timed-Out,
38,B.  CASELOAD (ALL),7a. Applications approved,E. Safety Net/Fleeing Felon/LTS,
39,B.  CASELOAD (ALL),7b. Restorations approved,A. Two Parent Families,
40,B.  CASELOAD (ALL),7b. Restorations approved,B. Zero Parent Families,
41,B.  CASELOAD (ALL),7b. Restorations approved,C. All Other Families,
42,B.  CASELOAD (ALL),7b. Restorations approved,D. TANF Timed-Out,
43,B.  CASELOAD (ALL),7b. Restorations approved,E. Safety Net/Fleeing Felon/LTS,
44,B.  CASELOAD (ALL),7c. Transfers from other counties,A. Two Parent Families,
45,B.  CASELOAD (ALL),7c. Transfers from other counties,B. Zero Parent Families,
46,B.  CASELOAD (ALL),7c. Transfers from other counties,C. All Other Families,
47,B.  CASELOAD (ALL),7c. Transfers from other counties,D. TANF Timed-Out,
48,B.  CASELOAD (ALL),7c. Transfers from other counties,E. Safety Net/Fleeing Felon/LTS,
49,B.  CASELOAD (ALL),7d. Other approvals,A. Two Parent Families,
50,B.  CASELOAD (ALL),7d. Other approvals,B. Zero Parent Families,
51,B.  CASELOAD (ALL),7d. Other approvals,C. All Other Families,
52,B.  CASELOAD (ALL),7d. Other approvals,D. TANF Timed-Out,
53,B.  CASELOAD (ALL),7d. Other approvals,E. Safety Net/Fleeing Felon/LTS,
54,B.  CASELOAD (ALL),7d1) Other approvals due to AB 959 SAR 7,A. Two Parent Families,
55,B.  CASELOAD (ALL),7d1) Other approvals due to AB 959 SAR 8,B. Zero Parent Families,
56,B.  CASELOAD (ALL),7d1) Other approvals due to AB 959 SAR 9,C. All Other Families,
57,B.  CASELOAD (ALL),7d1) Other approvals due to AB 959 SAR 10,D. TANF Timed-Out,
58,B.  CASELOAD (ALL),7d1) Other approvals due to AB 959 SAR 11,E. Safety Net/Fleeing Felon/LTS,
59,B.  CASELOAD (ALL),8. Total cases open during the month,A. Two Parent Families,
60,B.  CASELOAD (ALL),8. Total cases open during the month,B. Zero Parent Families,
61,B.  CASELOAD (ALL),8. Total cases open during the month,C. All Other Families,
62,B.  CASELOAD (ALL),8. Total cases open during the month,D. TANF Timed-Out,
63,B.  CASELOAD (ALL),8. Total cases open during the month,E. Safety Net/Fleeing Felon/LTS,
64,B.  CASELOAD (ALL),8a. Cases receiving cash grant ,A. Two Parent Families,
65,B.  CASELOAD (ALL),8a. Cases receiving cash grant ,B. Zero Parent Families,
66,B.  CASELOAD (ALL),8a. Cases receiving cash grant ,C. All Other Families,
67,B.  CASELOAD (ALL),8a. Cases receiving cash grant ,D. TANF Timed-Out,
68,B.  CASELOAD (ALL),8a. Cases receiving cash grant ,E. Safety Net/Fleeing Felon/LTS,
69,B.  CASELOAD (ALL),8a1. Children in Item 8a cases,A. Two Parent Families,
70,B.  CASELOAD (ALL),8a1. Children in Item 8a cases,B. Zero Parent Families,
