Accessible data table begins in Cell A5. Item descriptions are contained within input messages in Cell G5 through Cell EY5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"California Work Opportunity and Responsibility to Kids (CalWORKs) Report
Cash Grant Caseload Movement Report
(CA 237 CW)",,,,,,PART A.  APPLICATIONS FOR AID AND REQUESTS FOR RESTORATION,,,,,,,PART A.  APPLICATIONS FOR AID AND REQUESTS FOR RESTORATION,,,,,,PART B.  CASELOAD (ALL)  Cases Added,,,,,,,,,,PART B.  CASELOAD (ALL)  Cases Added,,,,,,,,,,PART B.  CASELOAD (ALL)  Cases Added,,,,,,,,,,PART B.  CASELOAD (ALL)  Cases Added,,,,,,,,,,PART B.  CASELOAD (ALL)  Cases Added,,,,,PART B.  CASELOAD (ALL)  Caseload,,,,,PART B.  CASELOAD (ALL)  Caseload,,,,,,,,,,PART B.  CASELOAD (ALL)  Caseload,,,,,,,,PART B.  CASELOAD (ALL)  Caseload,,,,,,,,,,PART B.  CASELOAD (ALL)  Caseload,,,,,,,,PART B. CASELOAD (ALL) Case Exits,,,,,,,,,,PART B. CASELOAD (ALL) Case Exits,,,,,,,,,,PART C.  SAFETY NET,,,,,,,,,,PART D.  FLEEING FELON,,,,,,,,,,PART E.  LONG-TERM SANCTION,,,,,,,,,,,
,,,,,,1.  Pending,1a. Item 5 from last month,1b. Adjustment,2. Applications received,2a. Applications,2b. Restoration,3. Total/month,4. Disposed of,4a. Approved,4b. Denied,4b1. Diversion,4c. Other,5. Applications pending,6. Cases carried forward,,,,,6a. Item 12 from last month,,,,,6b. Adjustment,,,,,7. Cases added during the month,,,,,7a. Applications approved,,,,,7b. Restorations approved,,,,,7c. Transfers from other counties,,,,,7d. Other approvals,,,,,7d1. Other approvals due to AB 959,,,,,8. Cases open during the month,,,,,8a. Cases receiving cash grant,,,,,8a1. Children in 8a cases,,,,,8a2. Adults in 8a cases,,,8a3. Total persons in 8a cases,,,,,8b. Other cases,,,,,8b1. Children in 8b cases,,,,,8b2. Adults in 8b cases,,,8b3. Total persons in 8b cases,,,,,9. Total cases discontinued,,,,,10. Total cases deducted,,,,,11. Total cases added,,,,,12. Carried forward,,,,,13. Cases open,,13a. Cases receiving cash,,13a1. Children in 13a,,13b. Other cases,,13b1. Children in 13b,,14. Cases open,,14a. Cases receiving cash,,14a1. Children in 14a,,14b. Other cases,,14b1. Children in 14b,,15. Cases open,,15a. Cases receiving cash,,15a1. Children in 15a,,15b. Other cases,,15b1. Children in 15b,,,
,,,,,,,,,,,,,,,,,,,"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","All Other
(C)","TANF Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
All Other
(C)","TANF 
Timed-Out
(D)","
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
All Other
(C)","TANF 
Timed-Out
(D)","
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
Zero Parent
(B)","
All Other
(C)","TANF 
Timed-Out
(D)",  SN/FF/LTS                     (E),"
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)","
Two Parent
(A)","
All Other
(C)",,
Date,Month,Year,County Name,SFY,FFY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,,
Jul18,7,2018,Statewide,2018-2019,2018,20345,21671,-1326,39122,31808,7314,59467,36228,15142,17068,*,4018,23239,25685,122065,113687,23527,89078,*,121800,114266,23288,89213,*,265,-579,239,-135,3016,4724,14110,1577,5632,1260,1877,6255,398,1377,335,657,1703,228,1052,37,99,181,28,76,1384,2091,5971,923,3127,169,44,877,98,231,28701,126789,127797,25104,94710,28441,126342,126502,24974,94202,65373,249820,206143,55876,216252,42418,103716,20961,*,249820,309859,*,216252,260,447,1295,130,508,520,724,1695,265,998,387,933,103,907,724,2628,368,998,3293,6764,12765,1887,6546,706,631,2161,840,625,554,381,1147,771,2110,25256,119775,114018,23148,89649,3371,64732,3350,64377,9396,145104,*,355,*,696,14,310,14,*,45,626,0,*,0,*,6313,19970,6268,19885,18513,42568,45,85,122,137,,
Jul18,7,2018,Alameda,2018-2019,2018,258,300,-42,929,774,155,1187,845,398,382,0,65,342,434,2855,2803,461,2949,452,2819,2807,*,*,-18,36,-4,*,*,67,118,425,38,176,34,45,178,14,42,*,*,45,*,*,*,*,14,*,*,27,58,188,20,105,*,0,31,*,16,501,2973,3228,499,3125,*,2962,3196,*,3111,1198,5136,4770,956,6047,709,2299,367,1907,5136,7069,1323,6047,*,11,32,*,14,*,*,31,*,19,*,15,*,18,*,46,13,19,62,191,412,51,255,13,50,62,23,21,12,13,59,18,67,438,2745,2813,443,2916,106,2237,106,2225,285,4268,0,12,0,15,*,*,*,*,*,*,0,0,0,0,120,640,*,*,312,1139,*,*,*,*,,
Jul18,7,2018,Alpine,2018-2019,2018,0,0,0,*,*,0,*,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jul18,7,2018,Amador,2018-2019,2018,11,11,0,35,*,*,46,35,*,21,0,*,11,*,50,*,*,*,11,50,73,16,27,0,0,0,0,0,*,0,*,*,*,*,0,*,0,*,*,0,*,0,0,0,0,0,0,0,0,0,*,*,*,0,0,0,*,*,13,50,78,17,30,13,50,78,17,30,42,76,122,37,61,28,78,19,70,76,200,56,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,0,0,0,0,*,*,0,0,0,0,12,*,*,*,26,*,25,*,25,*,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,0,0,0,0,,
Jul18,7,2018,Butte,2018-2019,2018,108,108,0,286,226,60,394,276,94,141,0,41,118,203,770,810,287,511,207,772,*,*,*,-4,-2,*,*,*,33,23,96,20,25,*,15,38,*,*,*,*,*,*,*,0,0,*,0,0,19,*,50,15,12,*,0,*,0,*,236,793,906,307,536,*,*,889,*,*,485,1241,1438,652,1165,338,752,279,823,1241,2190,931,1165,*,*,17,*,*,*,*,21,*,*,*,13,*,*,*,34,11,*,37,*,90,23,38,*,0,*,12,*,*,*,*,12,*,200,755,796,284,514,19,298,19,*,50,637,0,*,0,*,0,0,0,0,0,0,0,0,0,0,60,159,*,*,165,313,*,*,*,*,,
Jul18,7,2018,Calaveras,2018-2019,2018,24,24,0,49,36,13,73,39,*,21,0,*,34,*,*,113,34,*,37,87,*,34,77,0,0,*,0,-1,*,*,11,0,*,*,*,*,0,*,*,0,*,0,0,0,0,0,0,0,0,0,*,0,*,0,0,*,0,0,41,89,124,34,81,*,89,124,34,*,81,137,195,66,145,56,113,34,137,137,308,100,145,*,0,0,0,*,*,0,0,0,*,0,0,0,*,0,0,0,*,*,*,18,*,*,*,*,*,0,0,0,0,*,0,*,36,85,107,*,81,0,71,0,*,0,128,0,*,0,*,0,0,0,0,0,0,0,0,0,0,*,*,*,*,*,*,0,0,0,0,,
